p_name,fit_goal,author,days_per_wk,equipment array,p_type,exp_lvl,gender,p_ummary,cover_img,shares,stars,votes,comment_count
30 Minute Big Shoulder Workout with David Schachterle,Build Muscle,M&S Team,1,"Barbell, Cables, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					",Build your shoulders with David Schachterle's 30 minute workout that's designed to pack on shoulder mass when you're limited on time.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/david_feature.jpg,0,4,3,6
30 Minute Women's Toning Workout With Jenna Webb & Melanie Tillbrook,Lose Fat,M&S Team,3,"Bodyweight, Cables, Dumbbells, Machines, Other",Full Body,Beginner,"
						Female						
					",Short on time? MuscleTech athletes Jenna Webb and Melanie Tillbrook designed this quick 30 minute toning routine that works the full body.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/30min_routine_feature.jpg,0,4.1,11,0
300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,General Fitness,Brad Borland,4,"Barbell, Bodyweight, Dumbbells, Kettle Bells, Other",Full Body,Beginner,"
						Male & Female						
					","Seize your glory by building a Spartan body. This feature presents three new workouts, including a powerful 4 day split designed to shred fat and build muscle.",,0,5,55,23
4 Advanced Training Techniques to Build Massive Lats,Build Muscle,Nate Palmer,1,"Bodyweight, Dumbbells, Machines",Single Muscle Group,Advanced,"
						Male & Female						
					","When it comes to building massive lats, you need an effective plan. If you've found your gains have stalled, you really need to try out these moves!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/massive-lats-feature.jpg,0,3.8,4,0
4 Day Bodybuilding Split by Shaun,Build Muscle,Shaun McEwan,4,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",A higher volume 4 day split workout plan for those who want to gain muscle mass and/or gain weight. Workout was developed by Shaun from Muscle and Strength forum.,,0,4.9,35,80
4 Day Maximum Mass Workout,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","A mass building routine that features a great combination of effective compound and isolation movements along with intense, high impact five minute burn sets.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/maximum-mass-workout.jpg,0,4.8,189,533
4 Day Power Muscle Burn Workout Split,Build Muscle,M&S Team,4,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","This building workout is designed to maximize Progression and muscle gains by hitting each muscle group with power sets, muscle sets and burn sets.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/pmbheader.jpg,0,5,1100,3000
4 Day Rest Pause RP-21 Muscle Building Workout System,Build Muscle,Eric Brown,4,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",RP-21 rest pause training helps you to increase muscle size and aesthetics. This 4 day upper/lower workout split focuses on big compound movements with no fluff.,,0,5,87,107
4 Day Split Bodybuilding Split Routine,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Advanced,"
						Male & Female						
					",This 4 day workout routine is aimed at the intermediate to advanced bodybuilder who is currently in their growth cycle. Legs have been split up into 2 separate days.,,0,5,94,86
4 Day Superset & Timed Set Muscle Building Workout,Build Muscle,Ian Coleman,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male						
					",This is a 4 day workout variation of one of the most popular training systems on M&S. You will hammer your muscles into effective growth using timed sets and supersets.,,0,4.8,25,15
4 Week Beginner Kettlebell Workout For Muscle Growth,Build Muscle,Roger äóìRockäó Lockridge,4,Kettle Bells,Full Body,Beginner,"
						Male & Female						
					","If you're looking to switch up your traditional training, but would still like to burn fat and gain muscle, maybe it's time to consider kettlebell training.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/kettlebell_workout_for_muscle_growth_and_fat_loss.jpg,0,5,2,1
5 Day Superset & Timed Set Muscle Building Workout,Build Muscle,Ian Coleman,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","A quality change of pace, this routine sets aside squats, deadlifts and flat bench press and hammers your muscles into new growth using timed sets and supersets.",,0,4.9,26,19
5 Killer Arm Workouts for Tank Top Season,Build Muscle,Coach Dustin Myers,2,"Bands, Barbell, Bodyweight, Cables, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","With tank top season right around the corner, it's time to get serious about your arm training. Check out Coach Myers' tank top filling arm workouts!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/tank-top-season-feature.jpg,0,4,4,0
"5,000 Rep Arm Specialization Program",Build Muscle,M&S Writers,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Go gonzo and gain insane with this arm building program. You will alternate between blast and cruise weeks, performing a total of 5,000 reps over the course of 10 weeks.",,0,4.9,33,52
"6 Day Push, Pull, Legs Powerbuilding Split & Meal Plan",Build Muscle,Nick Ludlow,6,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Hungry for some serious gym time and crazy gains? Nick Ludlow helps you to go heavy, go hard and improve your results with this intense, high volume rest-pause workout.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/power8.jpg,0,4.2,14,28
6 Week Arm Builder Workout Plan,Build Muscle,M&S Writers,2,"Barbell, Cables, Dumbbells, Machines",Single Muscle Group,Beginner,"
						Male & Female						
					","The workout plan helps you build bigger biceps and triceps by increasing exercise effectiveness, volume and intensity over a 6 week period. 

",,0,5,75,45
"8 Week Big And Bold Workout: Simple, Brutal Muscle Building",Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male						
					","So simple, so brutal, so effective. This bodybuilding workout packs a punch and is a great alternative to programs that revolve around 5 rep or low rep sets. Sample meal plan included.",,0,4.7,24,60
8 Week Chest And Back Specialization Workout Routine,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",This back and chest specialization workout is performed 2 days per week and combines a day of heavy compound movements along with a second rest-pause day.,,0,5,49,43
8 Week Muscle Building Bodyweight Workout,Build Muscle,Brad Borland,3,"Bodyweight, Exercise Ball, Kettle Bells, Other",Full Body,Beginner,"
						Male & Female						
					",Build muscle without a gym! This 8-week hypertrophy routine will help you progress from basic to advanced bodyweight exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/8-week-bodyweight-workout-featured.jpg,0,4.8,6,10
963 Workout System For Muscle Size And Strength,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",The 963 training system is an upper/lower workout split that helps you to build both size and strength by cycling main lifts between 3 different levels of weight intensity.,,0,4.9,26,40
A Bigger Bench Press & Chest Using Only 135 Pounds - Really,Build Muscle,M&S Writers,1,Barbell,Single Muscle Group,Intermediate,"
						Male & Female						
					",No I am not insane - this program really works. Build a bigger chest and improve your bench press by inserting this specialty workout into your current training regimen.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/benchhead.jpg,0,4,41,139
Advanced Bodybuilder Workout,Build Muscle,M&S Writers,5,"Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines",Split,Advanced,"
						Male & Female						
					",Advanced bodybuilder workout suited to advanced lifters with at least one year of lifting experience. Step up your training and re-ignite big gains!,,0,4.9,133,237
Animal Instincts - The Kurt Weidner 4 Day Split Workout,Build Muscle,Team Scivation,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Split,Intermediate,"
						Male & Female						
					","This is the 4 day workout split of Team Scivation sponsored athlete and WNBF pro bodybuilder Kurt ""The Animal"" Weidner.",,0,5,126,261
Arm Building Circuits: Bust Through Bicep & Tricep Plateaus,Build Muscle,Mike Samuels,1,"Bands, Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Other",Single Muscle Group,Beginner,"
						Male & Female						
					","If your arms aren't responding to conventional training, it's time for some bicep and tricep blasting circuits. Prepare to pack on arm size and get rid of your old t-shirts.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/man-preacher-curl.jpg,0,5,15,18
Balloon Arms Workout By MusclePharm,Build Muscle,Cory Gregory,1,"Barbell, Dumbbells, EZ Bar, Other",Single Muscle Group,Beginner,"
						Male & Female						
					",This arm pumping workout from MusclePharm uses a combination of trisets and unique exercise variations to target both biceps and triceps in a single session.,,0,5,23,13
Beginner Fullbody Workout,Build Muscle,M&S Writers,3,"Barbell, Cables, Dumbbells, EZ Bar",Full Body,Beginner,"
						Male & Female						
					",This fullbody workout by TitanCT from the Muscle & Strength forum is perfect for absolute beginners who need to develop good exercise form.,,0,4.9,162,383
Bench Most Dayz: Increase Your Bench By 30-50lbs In 6 weeks,Increase Strength,Cory Gregory,4,Barbell,Single Muscle Group,Beginner,"
						Male & Female						
					",Cory Gregory's Bench Most Dayz 6 week program is designed to add some serious weight to your bench and muscle mass in your chest!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/bench_most_dayz.jpg,0,4.6,11,65
Best Chest Workout: The Push & Stretch Method For Killer Chest Gains,Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Bodyweight, Cables, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Designed to work your chest thoroughly and intensely, the Push & Stretch Method is a killer chest workout routine that will help you effectively develop a solid chest!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/callum_chest_workout_feature.jpg,0,4,16,10
Best Morning Workout For Building Muscle Mass,Build Muscle,Brad Borland,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Beginner,"
						Male & Female						
					","Most workout routines are designed for the evening lifter. If you're an early riser, we've got the perfect morning workout routine and advice for you!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/morning-workout-routine.jpg,0,4,9,28
Big Arms Fast: 4 Week Specialization Workout,Build Muscle,Justin Woltering,2,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Split,Beginner,"
						Male & Female						
					","This four week bicep and tricep building specialization routine from transformation expert Justin Woltering is designed to help you bring up your lagging arms, and fast.",,0,5,52,39
Big Back Workout with Mike Rashid and Cory G,Build Muscle,M&S Team,1,"Bodyweight, Cables, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Can you imagine the type of workout Cory Gregory and Mike Rashid could create together? No need to play make believe, check out this intense workout!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mike-rashid-and-cory-g-feature.jpg,0,3,3,0
Big Traps: 2 Day Trapezius Building Workout,Build Muscle,M&S Team,2,"Barbell, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					",This 2 day per week specialization workout is designed to target lagging traps using unique and demanding exercise variations. A sample 4 day muscle building split is provided.,,0,4.8,23,5
Bill Starr 5x5  Linear Version For Intermediate Lifters,Increase Strength,M&S Writers,3,"Barbell, Bodyweight",Full Body,Intermediate,"
						Male & Female						
					",This highly effective strength and muscle building 5x5 workout by Bill Starr illustrates the importance of making systematic progression to drive gains.,,0,5,92,96
Body Like A God: A Complete Bodyweight Muscle Building Plan,Build Muscle,Brad Borland,4,Bodyweight,Full Body,Beginner,"
						Male & Female						
					",Get back to basics and build muscle at home with this classic bodyweight training system. This is a flexible training system that focuses on the use of exercise complexes.,,0,4.8,37,23
Branch Warren's Pre Olympia Workout & Sample Diet Plan,Build Muscle,Team MuscleTech,5,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Advanced,"
						Male						
					","Mr. Olympia competitor and Team Muscletech member Branch Warren shares his pre-contest 5 day training split, along with a sample eating and supplementation plan.",,0,5,21,14
Brutality: A Squat & Deadlift Centered Muscle Building Program,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, EZ Bar",Split,Intermediate,"
						Male & Female						
					","It's time to get nasty in the gym. This muscle building approach has you working both squats and deadlifts on the same day, alternating between heavy and volume days.",,0,5,27,28
Build a Bigger Chest With This Intense Mass Building Workout,Build Muscle,Team eFlow,1,"Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					",Don't be ashamed by your lack of gains at the pool this year. Attack your pecs from all angles and utilize drop sets with this intense chest workout!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/massive-chest-feature.jpg,0,4.9,13,0
"Build A Bigger Upper Body: Back, Shoulders And Traps Workout",Build Muscle,M&S Team,1,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Single Muscle Group,Beginner,"
						Male & Female						
					","Bro: it's time to work the torso. Set aside chest, bicep & abs for a moment. This workout helps you beef up your back, shoulders and traps, and fill out that t-shirt.",,0,4.8,40,33
Build Your Own HLM Full Body Workout,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Full Body,Beginner,"
						Male & Female						
					",Looking for quality full body workout variations? This template system allows you to build hundreds and hundreds of effective training programs from the ground up.,,0,5,26,29
Building Bigger Pecs: 4 Workouts For Improved Chest Size,Build Muscle,M&S Team,1,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","It's time for a change. These four unique chest workouts provide you with effective, intense and fun training options that will help to increase your pec size and strength.",,0,4.6,34,76
Building The Beginner: Foundation For Muscle & Strength,Build Muscle,Team MuscleTech,5,"Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Kettle Bells, Machines, Medicine Ball",Split,Beginner,"
						Male & Female						
					",Building The Beginner is a 6 week program that lays the foundation for heavier lifting. A detailed training plan with instructional videos makes it easy to follow!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/building-the-beginner-featured.jpg,0,4.4,8,1 Comment
Bulldozer Training 3 Day Workout Split,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male						
					",3 day Bulldozer Training muscle building split. Combines rest-pause sets with progressive resistance. Workouts are shorter but more intense.,,0,5,50,121
"Bulldozer Training 4 Day ""Mini-Dozer"" Workout Split ",Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","4 day ""Mini-Dozer"" Bulldozer Training muscle building split. Combines rest-pause sets with progressive resistance. Lower volume variation.",,0,4.9,31,46
Bulldozer Training 4 Day Workout Split,Build Muscle,M&S Team,4,"Barbell, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",4 day Bulldozer Training muscle building split. Combines rest-pause sets with progressive resistance. Workouts are shorter but more intense.,,0,4.3,63,189
Combat Your Weakness Workout Program,Build Muscle,Charles Cunningham,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Other",Full Body,Intermediate,"
						Male & Female						
					","This program combines the concepts of training volume, progressive overload, and muscular tension in order to build strength and muscle while prioritizing lagging body parts.  ",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/combat_your_weakness_training_program.jpg,0,4.6,11,4
Command Your Arms To Grow! 2 Day Arm Building Workout,Build Muscle,L.J. Walker,2,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Single Muscle Group,Beginner,"
						Male & Female						
					","This is an aggressive 2 day per week specialization program for those of you who are tired of having puny guns, and are willing to eat as hard and precise as you train.",,0,5,15,14
Compound Exercises Only Workout,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells",Split,Intermediate,"
						Male & Female						
					",This workout uses only compound exercises. Compound exercises are movements that require more than 1 joint and more than 1 muscle group.,,0,4.9,194,268
Conquering The Giant: Giant Set Workouts For Hypertrophy & Fat Loss,Build Muscle,Mike Samuels,3,"Barbell, Bodyweight, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Learn how giant sets and density training can help ignite fat loss and spark new muscle growth. Feature includes sample push, pull, leg and fat burning workouts.",,0,5,19,12
Core Strength Blueprint Workout v1.2 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Exercise Ball, Other",Full Body,Intermediate,"
						Male & Female						
					",Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cb2_feature.jpg,0,5,1,3
Core Strength Blueprint Workout v1.3 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Exercise Ball, Other",Full Body,Intermediate,"
						Male & Female						
					",Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/core_1-3_feature.jpg,0,4.5,6,0
Core Strength Blueprint Workout v1.4 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Other",Full Body,Intermediate,"
						Male & Female						
					",Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/musclepharm_core_strength_workout.jpg,0,5,2,5
"Cory Gregory's ""Make Your Own Brick Soup"" Ab Workout",Build Muscle,Cory Gregory, ,"Bodyweight, Other",Single Muscle Group,Beginner,"
						Male & Female						
					","Get the secret ingredients for ""Brick Soup"" with this killer 4-week program in which MusclePharm's Cory Gregory reveals what he does to build and maintain his rock-solid abs! ",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cory_gregory_ab_workout_1_0.jpg,0,3.8,18,3
Crazy 5 Method: An Intense Rep Scheme For Making Solid Gains,Build Muscle,Coach Dustin Myers,3,"Barbell, Dumbbells",Split,Intermediate,"
						Male & Female						
					","If you're looking for an excellent finisher to your lifts, look no further. Coach Myers' Crazy 5 Method is bound to give you the pump you're looking for.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/crazy-5-method-feature.jpg,0,4,8,2
CrossFit vs Weight Training: Which Gives Better Results?,Build Muscle,Team AML,3,"Barbell, Bodyweight, Kettle Bells",Split,Intermediate,"
						Male & Female						
					","Traditional weightlifters and cross trainers don't see eye to eye on training. However, the best approach to training isn't as black & white as you may think.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/crossfit-feature_0.jpg,0,5,2,1
CT Fletcher's Agony Of The Shoulders Workout,Build Muscle,M&S Team,1,"Barbell, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Ready to build the massive shoulders you've always dreamed of? ""The Superman from Compton"" CT Fletcher is here to show you how to do just that.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/ct_fletcher_agony_workout.jpg,0,4.5,8,6
Cut Like Cutler Trainer - Cycle 1,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 1 of the Cut Like Cutler trainer. Week 1 is Heavy training and Week 2 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_1.jpg,0,3.8,17,8
Cut Like Cutler Trainer - Cycle 2,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 2 of the Cut Like Cutler trainer. Week 3 is Heavy training and Week 4 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_2.jpg,0,4.3,3,0
Cut Like Cutler Trainer - Cycle 3,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 3 of the Cut Like Cutler trainer. Week 5 is Heavy training and Week 6 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_3.jpg,0,4.3,3,1
Cut Like Cutler Trainer - Cycle 4,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 4 of the Cut Like Cutler trainer. Week 7 is Heavy training and Week 8 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_4.jpg,0,0,0,0
Cut Like Cutler Trainer - Cycle 5,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 5 of the Cut Like Cutler trainer. Week 9 is Heavy training and Week 10 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_5.jpg,0,5,3,0
Cut Like Cutler Trainer - Cycle 6,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 6 of the Cut Like Cutler trainer. Week 11 is Heavy training and Week 12 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_6.jpg,0,4,1,3
Daily Undulating Periodization (DUP) Muscle Growth Workout,Increase Strength,Mike Wines,4,"Bands, Barbell, Cables, Dumbbells, Machines, Other",Split,Intermediate,"
						Male & Female						
					","Maximize your training with this workout that utilizes an advanced training technique designed to enhance strength, power, and muscle hypertrophy.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/periodization_muscle_growth_workout_feature.jpg,0,5,3,20
Dave's Upper/ Lower Split (DULS),Build Muscle,Dave Herber,4,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","This upper/lower body split is designed for growth while avoiding overtraining. If you're an intermediate to advanced lifter, give this workout a shot!",,0,5,64,75
Dave's V.I.F Mass Building Program,Build Muscle,Dave Herber,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",This program tackles 3 of the 5 different types of workouts that will hopefully keep your body growing in the right direction. Each phase is 4 weeks.,,0,5,178,210
Diego Sebastian's Arms & Abs Superset Workout,Build Muscle,M&S Team,2,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Single Muscle Group,Beginner,"
						Male & Female						
					","Cover model Diego Sebastian shares his go-to arms and abs superset workout. Watch the video for the secret to cover ready abs, biceps, and triceps!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/diego-sebastian-abs-and-arms.jpg,0,4,6,1
