p_name,fit_goal,author,days_per_wk,eq_ids,p_type,exp_lvl,gender,p_summary,cover_img,shares,stars,votes,comment_count
8 Weeks To A Stronger Deadlift,Increase Strength,Danny Takacs,1,"Barbell, Machines",Single Muscle Group,Intermediate,Male & Female,This 8 week peaking cycle is for experienced pullers who want to beef up their lagging deadlift. Feature includes a sample workout with recommended assistance exercises.,,0,4.6,7,9
963 Workout System For Muscle Size And Strength,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Beginner,Male & Female,The 963 training system is an upper/lower workout split that helps you to build both size and strength by cycling main lifts between 3 different levels of weight intensity.,,0,4.9,26,40
A Bigger Bench Press & Chest Using Only 135 Pounds - Really,Build Muscle,M&S Writers,1,Barbell,Single Muscle Group,Intermediate,Male & Female,No I am not insane - this program really works. Build a bigger chest and improve your bench press by inserting this specialty workout into your current training regimen.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/benchhead.jpg,0,4,41,139
A Hardcore Look At Wendler's 5/3/1 Powerlifting Routine,Increase Strength,M&S Writers,3,"Barbell, Bodyweight, Dumbbells",Split,Intermediate,Male & Female,Jim Wendler's 5/3/1 powerlifting system is popular because it works! Wendler's has you training 3-4 days per week on a rotating wave system.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/wendler800.jpg,0,4.9,226,348
Beef Up Your Bench Press 10x3 Workout Program,Increase Strength,M&S Team,3,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,Male,Bring up your bench press with this intense 10 set x 3 rep bench press specialization workout plan from top powerlifter Steve Shaw,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/bench-press-workout.jpg,0,4.7,54,153
Bench Most Dayz: Increase Your Bench By 30-50lbs In 6 weeks,Increase Strength,Cory Gregory,4,Barbell,Single Muscle Group,Beginner,Male & Female,Cory Gregory's Bench Most Dayz 6 week program is designed to add some serious weight to your bench and muscle mass in your chest!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/bench_most_dayz.jpg,0,4.6,11,65
Bill Starr 5x5  Linear Version For Intermediate Lifters,Increase Strength,M&S Writers,3,"Barbell, Bodyweight",Full Body,Intermediate,Male & Female,This highly effective strength and muscle building 5x5 workout by Bill Starr illustrates the importance of making systematic progression to drive gains.,,0,5,92,96
Build a Bigger Chest With This Intense Mass Building Workout,Build Muscle,Team eFlow,1,"Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,Male & Female,Don't be ashamed by your lack of gains at the pool this year. Attack your pecs from all angles and utilize drop sets with this intense chest workout!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/massive-chest-feature.jpg,0,4.9,13,0
Build A Bigger Squat: 8 Week Periodized Workout Plan,Increase Strength,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,Male & Female,This program is designed to help strength athletes add 10-30 lbs to their squats over an 8 week period. Each week lifters alternate between rep work and heavy sets.,,0,5,4,8
Build Core Strength! Coach Myers' Top 5 Exercises For Core Stability,Increase Strength,Coach Dustin Myers,3,"Bands, Bodyweight, Exercise Ball",Single Muscle Group,Intermediate,Male & Female,Coach Myers' is back at it and just in time to help you build your core for summer! Check out his top 5 core exercises and these progressive core workouts!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/core-stability-feature-1.jpg,0,4.4,5,0
Build Your Own Cross Training Daily Workouts,General Fitness,Thomas Schultz,1,"Barbell, Bodyweight, Kettle Bells",Full Body,Beginner,Male & Female,"Here is a fun way to come up with your daily cross training workouts. This random generation system has the potential to create up to 100,000 unique workout variations.",,0,5,34,12
Combat Your Weakness Workout Program,Build Muscle,Charles Cunningham,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Other",Full Body,Intermediate,Male & Female,"This program combines the concepts of training volume, progressive overload, and muscular tension in order to build strength and muscle while prioritizing lagging body parts.  ",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/combat_your_weakness_training_program.jpg,0,4.6,11,4
Compound Exercises Only Workout,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells",Split,Intermediate,Male & Female,This workout uses only compound exercises. Compound exercises are movements that require more than 1 joint and more than 1 muscle group.,,0,4.9,194,268
Core Strength Blueprint Workout v1.1 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Exercise Ball, Other",Full Body,Intermediate,Male & Female,Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mpfeature.jpg,0,5,2,4
Core Strength Blueprint Workout v1.2 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Exercise Ball, Other",Full Body,Intermediate,Male & Female,Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cb2_feature.jpg,0,5,1,3
Core Strength Blueprint Workout v1.3 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Exercise Ball, Other",Full Body,Intermediate,Male & Female,Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/core_1-3_feature.jpg,0,4.5,6,0
Core Strength Blueprint Workout v1.4 With Coach Myers,Increase Strength,Coach Dustin Myers,4,"Bodyweight, Dumbbells, Other",Full Body,Intermediate,Male & Female,Use this 4-week core training plan that Coach Myers designed to help develop the core strength and stability needed to master more extreme core exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/musclepharm_core_strength_workout.jpg,0,5,2,5
"Core, Strength And Fat Burn Workout",Lose Fat,Danial Kelly,6,"Barbell, Bodyweight, Dumbbells, Other",Full Body,Intermediate,Male & Female,"Potent, powerful and anything but boring. This hardcore fat burning, strength and core building workout will leave you looking and feeling great.",,0,5,55,142
Crazy 5 Method: An Intense Rep Scheme For Making Solid Gains,Build Muscle,Coach Dustin Myers,3,"Barbell, Dumbbells",Split,Intermediate,Male & Female,"If you're looking for an excellent finisher to your lifts, look no further. Coach Myers' Crazy 5 Method is bound to give you the pump you're looking for.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/crazy-5-method-feature.jpg,0,4,8,2
CrossFit vs Weight Training: Which Gives Better Results?,Build Muscle,Team AML,3,"Barbell, Bodyweight, Kettle Bells",Split,Intermediate,Male & Female,"Traditional weightlifters and cross trainers don't see eye to eye on training. However, the best approach to training isn't as black & white as you may think.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/crossfit-feature_0.jpg,0,5,2,1
Daily Undulating Periodization (DUP) Muscle Growth Workout,Increase Strength,Mike Wines,4,"Bands, Barbell, Cables, Dumbbells, Machines, Other",Split,Intermediate,Male & Female,"Maximize your training with this workout that utilizes an advanced training technique designed to enhance strength, power, and muscle hypertrophy.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/periodization_muscle_growth_workout_feature.jpg,0,5,3,20
Density Giant Set Training v2.0: Stronger And Leaner,Lose Fat,John Matulevich,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Intermediate,Male & Female,Get your body stronger and leaner with this two template updated version of the extremely popular Density Giant Set Training workout system.,,0,4.9,34,88
Dougs 4 Day Split Maximum Strength Workout,Increase Strength,Doug Lawrenson,4,"Barbell, Dumbbells, EZ Bar, Machines",Split,Intermediate,Male & Female,"If you are looking to a pure strength training routine, then this routine is for you. This program will increase your strength is the shortest time possible.",,0,4.9,58,120
EKnight's Modified Westside Barbell Strength Workout,Increase Strength,Eric Knight,4,"Barbell, Bodyweight, Cables, Dumbbells, Other",Split,Intermediate,Male & Female,Eric Knight's modified Westside Barbell workout is beginner friendly and allows for progress without chains and bands. The program is 4 days a week.,,0,5,43,97
Get Stronger At Squats With This 12 Week Super Squat Workout,Increase Strength,Roger “Rock” Lockridge,1,"Barbell, Bodyweight, Cables, Machines",Single Muscle Group,Beginner,Male & Female,"Work your way to a bigger, more impressive squat with this 12-week program that's designed to improve your squat and get you moving serious weight.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/improving_squats_program_ronnie_coleman_feature.jpg,0,3.8,4,1
Jason Blaha's Off Season Linear Periodization Intermediate Strength Program #1,Increase Strength,M&S Writers,4,"Barbell, Dumbbells",Split,Intermediate,Male & Female,Jason Blaha presents a twelve week off season strength building program for seasoned intermediate lifters. Accessory work is left open based on needs and weaknesses.,,0,4.5,23,15
Jason Poston's Giant Set Back Workout Routine,Build Muscle,M&S Team,1,"Barbell, Cables, Dumbbells, Medicine Ball",Single Muscle Group,Intermediate,Male & Female,"If you thought your back workout was tough, then you've got to check out IFBB Pro and ProSupps athlete Jason Poston's Giant Set Back Routine!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/poston-prosupps-feature_0.jpg,0,4,2,0
Jeremy's 6 Day Hardcore Strength Workout,Increase Strength,Jeremy Wood,6,"Barbell, Bodyweight, Dumbbells",Split,Intermediate,Male & Female,"Hardcore! This is a hardcore strength building workout that has you in the gym 6 days a week, and focuses on basic strength building lifts.",,0,5,54,71
"John Meadows: His Journey to the Arnold, Brand, & Back Workout",Build Muscle,Roger “Rock” Lockridge,1,"Barbell, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,Male & Female,IFBB Pro John Meadows' work ethic is like no other. Read about his humbling journey to competing in front of his home town at this years Arnold Classic.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/john-meadows-feature.jpg,0,4.7,3,1
Kelso's Bench Press Training,Increase Strength,M&S Writers,2,"Barbell, Dumbbells",Single Muscle Group,Intermediate,Male & Female,In the middle of a bench press stall? Powerlifting coach and author Paul Kelso has some suggestions of how to boost your bench total.,,0,5,17,49
Long Cycle Beginner Muscle And Strength Building Workout,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Full Body,Beginner,Male & Female,"The Long Cycle program uses auto-regulation, allowing a lifter to progress on each exercise at a natural rate, while also maximizing muscle mass and strength gains.",,0,5,36,44
Massive Bench Press 16 Week Block Training Cycle,Increase Strength,M&S Team,4,"Barbell, Bodyweight, Dumbbells",Split,Intermediate,Male & Female,"Get your bench press moving in the right direction with this 2 phase program. Lifters spend 8 weeks building muscle, and 8 weeks peaking towards a new one rep max.",,0,5,27,13
Matt Kroc's 16 Week Strength Program & Lean Gain Diet Plan,Increase Strength,Team MuscleTech,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Beginner,Male & Female,Muscletech and powerlifting/bodybuilding phenom Matt Kroc presents a strength program designed to drive up gains by increasing intensity over a 16 week period.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/matt800.jpg,0,5,36,21
Max Adaptation Upper Lower (MAUL) Workout,Build Muscle,Alain Gonzalez,5,"Barbell, Cables, Dumbbells, Machines",Split,Beginner,Male & Female,This workout combines the main mechanisms of muscle hypertrophy to help you build some serious muscle. Try this split to put on quality summer mass!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/maul-feature.jpg,0,5,27,0
MFT Training: Boost Strength and Build High Performance Muscle,Build Muscle,Eric Weinbrenner,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Full Body,Intermediate,Male & Female,Would you like to get stronger and build more muscle while spending less time in the gym? MFT training might be just what you need for big results.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mft-training.jpg,0,5,5,22
Muscle & Strength Full Body Workout Routine,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,Male & Female,"This M&S mass building routine is perfect for lifters who want to give full body workouts a try. All major muscle groups are trained, and the program includes a 20 rep set of squats.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/ms_full_body_workout.jpg,0,4.8,78,57
Muscle & Strength's 30 Day Workout Plan For Women,Build Muscle,Brad Borland,6,"Barbell, Bodyweight, Dumbbells, Other",Full Body,Beginner,Female,"Looking for the best place to start working towards a leaner, solid, and stronger body? This thorough workout routine is specifically designed to get you there!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/complete_full_body_womens_workout_routine.jpg,0,4.2,14,40
Nick Wright NWB Power Training Workout Split,Increase Strength,Nick Wright,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Intermediate,Male & Female,"With nearly 150,000 Youtube subscribers and 650,000 Facebook followers, Nick Wright is an Internet sensation. In this feature we present his plan for building maximum strength.",,0,5,14,12
Off Season Leg Day Workout With Brandon Beckrich,Build Muscle,M&S Team,1,"Bands, Barbell, Machines",Single Muscle Group,Intermediate,Male & Female,"If you're in need of a great, quad-dominant leg workout, then you're in luck! Check out Team Allmax's Brandon Beckrich's insane off season leg day routine!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/brandon-legs-feature.jpg,0,5,2,0
Off-Season Baseball Strength Workout,Increase Strength,M&S Writers,3,"Barbell, Bodyweight, EZ Bar, Machines",Full Body,Intermediate,Male & Female,"Increase your strength (esp. upper body strength) in the baseball off-season. This is a full body workout hitting all major muscle groups every workout, 3 times per week.",,0,4.9,99,229
Power Muscle Burn 5 Day Powerbuilding Split,Build Muscle,M&S Team,5,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,Male & Female,"Rapidly build size and strength with this powerbuilding 5 day split which focuses on strength building power sets, and crazy-intense burn sets. You have been warned!",,0,5,1100,2600
Project WHEELS: The Ultimate Hybrid Program for Leg Size and Strength,Build Muscle,Lee Boyce,5,"Barbell, Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,Male & Female,"Build both your leg strength and solid legs muscles with this workout program that's heavy on squats, but highly effective at delivering results.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/leg_exercises_for_building_strong_legs_feature.jpg,0,4,4,2
Rippetoe Wichita Falls Novice Program,Increase Strength,M&S Writers,3,"Barbell, Bodyweight",Full Body,Beginner,Male & Female,"This routine is taught by Mark Rippetoe, but isn't available in his book Starting Strength. This 5x5 program is for beginners, and helps to build size and strength.",,0,5,56,186
Shrugs Are Overrated: Build a Massive Yoke Without Shrugs,Build Muscle,Ben Johnson,1,"Barbell, Dumbbells",Single Muscle Group,Intermediate,Male & Female,"Traps are the true sign of strength. Quit relying on ego-based, half shrug movements and build a serious yoke with this 4 week explosive workout plan!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/massive-yolk-feature.jpg,0,4.2,6,2
Stephen Amell’s Arrow Workout: Strength & Functional Training,Increase Strength,Brad Borland,3,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Other",Full Body,Intermediate,Male & Female,"Ready to get superhero shredded? Gain strength, build muscle, and burn fat with this full body routine inspired by Arrow's Stephen Amell.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/stephen-amell-arrow-workout.jpg,0,4.7,6,10
Steve's Density And Strength 4 Day Split,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,Male & Female,This 4 day split by Steve Shaw is a powerbuilding system designed to propel intermediate lifters towards faster muscle mass and strength gains.,,0,4.9,227,583
Strength And Bulk Beginner Workout - Linear Progression,Increase Strength,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,Male,A beginner workout based around linear progression for someone with a good grasp of exercise form. Stop wasting time in the gym and get results.,,0,4.9,60,268
"The Anti-Hero Training Plan: Build Big, Brutal Muscle & Strength",Build Muscle,Brad Borland,4,"Barbell, Bodyweight, Dumbbells",Split,Beginner,Male & Female,"Nothing pretty here! You're about to become a big, bad anti-hero behemoth. This no frills, get it done 4 day workout split will help you pack on both muscle and strength.",,0,5,53,47
The Tactical Physique: A Functional Strength & Conditioning Workout,General Fitness,Brad Borland,4,"Barbell, Bodyweight, Dumbbells, Other",Split,Intermediate,Male & Female,"Build a body that performs as good as it looks. This 5 day program by Brad Borland features functional full body workouts, supersets, bodyweight and conditioning work.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/tact800.jpg,0,4.2,43,99
The Un-Deadlifter: 4 Deadlift & Trap Workout Variations,Increase Strength,M&S Writers,1,"Barbell, Dumbbells",Single Muscle Group,Intermediate,Male & Female, Traps are the new abs! Slam your traps into growth and build a colossal deadlift one rep max using these 4 excruciating and devious workout options from Steve Shaw.,,0,5,3,9
The Weekend Warrior Workout,Build Muscle,Brad Borland,3,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Full Body,Beginner,Male & Female,Hoping to be crowned MVP of your intramural team? Gain the edge during the course of the week and become a true weekend warrior with this workout!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/weekend-warrior-feature.jpg,0,3.5,2,0
Tricep Trifecta: 3 Power Exercises For Tricep & Bench Strength,Increase Strength,Coach Dustin Myers,2,"Barbell, Cables, Dumbbells",Single Muscle Group,Beginner,Male & Female,Coach Myers has the answer for two weightlifting woes. This workout will get you past your bench press plateaus and leave you with massive triceps!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/triceps-trifecta.jpg,0,4.6,7,0
"Wild 20 Powerbuilding Workout: Get Crazy, Get Big & Strong",Build Muscle,M&S Writers,4,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,Male & Female,"Bust out of your training rut and blast through muscle and strength building plateaus using a unique combination of 5, 10 and 20 rep sets. This program delivers results.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/wild_20_feature.jpg,0,4.4,37,136
